tas,Year,Month,Country
33,2012,8,DZA 
30,2012,9,DZA 
25,2012,10,DZA 
19,2012,11,DZA 
14,2012,12,DZA 
12,2013,1,DZA 
14,2013,2,DZA 
20,2013,3,DZA 
23,2013,4,DZA 
27,2013,5,DZA 
31,2013,6,DZA 
32,2013,7,DZA 
32,2013,8,DZA 
29,2013,9,DZA 
25,2013,10,DZA 
17,2013,11,DZA 
13,2013,12,DZA 
13,2014,1,DZA 
15,2014,2,DZA 
18,2014,3,DZA 
24,2014,4,DZA 
28,2014,5,DZA 
32,2014,6,DZA 
33,2014,7,DZA 
32,2014,8,DZA 
30,2014,9,DZA 
25,2014,10,DZA 
18,2014,11,DZA 
13,2014,12,DZA 
11,2015,1,DZA 
13,2015,2,DZA 
18,2015,3,DZA 
23,2015,4,DZA 
29,2015,5,DZA 
32,2015,6,DZA 
34,2015,7,DZA 
32,2015,8,DZA 
29,2015,9,DZA 
25,2015,10,DZA 
18,2015,11,DZA 
13,2015,12,DZA 
